"gene_tree","Choanoflagellata","Opisthokonta","Outgroup","ingroup_ intercept_estimate","ingroup_ intercept_std.error","ingroup_ intercept_t.value","ingroup_ intercept_Pr","ingroup_ x_estimate","ingroup_ x_std.error","ingroup_ x_t.value","ingroup_ x_Pr","ingroup_ residual_std_error","ingroup_ degrees_of_freedom","ingroup_ multiple_r_squared","ingroup_ adjusted_r_squared","ingroup_ f.statistic_value","ingroup_ f.statistic_p.value","outgroup_ intercept_estimate","outgroup_ intercept_std.error","outgroup_ intercept_t.value","outgroup_ intercept_Pr","outgroup_ x_estimate","outgroup_ x_std.error","outgroup_ x_t.value","outgroup_ x_Pr","outgroup_ residual_std_error","outgroup_ degrees_of_freedom","outgroup_ multiple_r_squared","outgroup_ adjusted_r_squared","outgroup_ f.statistic_value","outgroup_ f.statistic_p.value","branch_length_to_outgroup"
1491,"Monophyletic","Zero_taxa","Monophyletic",-4.42744930849735,0.136474345720322,-32.4416232598805,3.50140293364101e-64,0.0248880447790504,0.00178064723081556,13.9769654248986,1.13702246748868e-27,0.779535144271766,130,0.600437137126029,0.597363576642383,195.355562488809,1.1370224674887e-27,-4.34029286992876,0.104485408855615,-41.5397031745023,2.88640347531888e-91,0.0211175302758185,0.0010415782683272,20.2745496118442,2.37625607951094e-47,0.684168675536032,171,0.706214522528741,0.704496478800839,411.057361963132,2.37625607951081e-47,0.2074323497
1497,"Monophyletic","Zero_taxa","Monophyletic",-5.76126204410786,0.303031378126424,-19.0120972941102,1.2600588829626e-33,0.0594258953290804,0.00553949942182,10.7276652281978,6.83010921524098e-18,1.45729374919144,92,0.555733264928673,0.550904278677898,115.082801248285,6.83010921524083e-18,-5.23319423018864,0.244065070897921,-21.4417991519048,4.97270300124684e-43,0.0404441826568554,0.00341603204673402,11.839520854473,5.97051764840101e-22,1.34516211343287,121,0.536707779892497,0.532878918569294,140.1742540635,5.97051764840109e-22,0.3306525298
1499,"Paraphyletic","Monophyletic","Monophyletic",-5.05303591489196,0.169173469144704,-29.8689619621728,1.97644776368214e-53,0.0324278475010658,0.00269441671825299,12.0352012668966,1.50397826787445e-21,0.872953593457423,106,0.577430094094685,0.573443585548409,144.846069534709,1.50397826787446e-21,-5.41505256756463,0.188754658668261,-28.6883121495913,1.48194087850509e-62,0.0325330191677454,0.00215441912777806,15.1005989263092,7.66455827341479e-32,1.15397252919955,149,0.60480397941498,0.602151657129175,228.028087933252,7.66455827341457e-32,0.1274392749
1500,"Monophyletic","Zero_taxa","Monophyletic",-5.98986790015024,0.364241509747676,-16.4447701314978,6.15836649080961e-30,0.0588156035333203,0.00626190316019072,9.3926082899578,2.52005928980718e-15,1.80756535254118,98,0.473743818474697,0.468373857438725,88.2210904885839,2.52005928980722e-15,-5.74789456980567,0.310970232307945,-18.4837452998192,4.551969296057e-38,0.0447443553533247,0.00408817617974185,10.9448207185998,4.00796617499902e-20,1.76942952614765,129,0.481488539053979,0.477469070364475,119.789100562291,4.00796617499913e-20,0.1469336938
1501,"Monophyletic","Zero_taxa","Monophyletic",-4.63652190861356,0.217442624840391,-21.3229669758488,2.80419304173715e-34,0.0446110645905326,0.00466406785063579,9.56484039666176,8.69618760420967e-15,0.963330443580064,78,0.539785463525731,0.533885277160677,91.4861718136127,8.69618760420982e-15,-4.39248023477247,0.150784926342552,-29.1307648669978,6.51275439943684e-55,0.0301040676176076,0.00221798507073224,13.5727097602461,1.24302994860024e-25,0.810272173779468,115,0.615665411309553,0.612323371407897,184.21845023588,1.24302994860022e-25,0.1726322618
1503,"Paraphyletic","Monophyletic","Monophyletic",-4.28571725221892,0.207467668132645,-20.657277785948,1.64507120743341e-35,0.041829436235929,0.00395973449786341,10.5636972020471,2.52325797299023e-17,0.97591591049365,88,0.559099899306411,0.554089670889438,111.591698576538,2.52325797299023e-17,-5.01206522345812,0.270839854344493,-18.505641407867,7.27003019371605e-38,0.0382704877823845,0.00361548562020598,10.5851583445668,3.69828510113706e-19,1.52914099544895,127,0.468720561583083,0.464537258918383,112.045577179552,3.69828510113687e-19,0.2898764564
1509,"Monophyletic","Zero_taxa","Monophyletic",-5.86378530025577,0.297665499274332,-19.6992439988876,5.34208001115539e-40,0.0420335151135606,0.00406763527631663,10.3336489774037,1.95498532255559e-18,1.66070893236534,124,0.462701755008534,0.458368704645699,106.784301188197,1.95498532255563e-18,-6.14369829727299,0.282584841076405,-21.7410752603388,9.11719877061909e-50,0.0360019062641272,0.00298901906941636,12.0447228431891,3.14312727954334e-24,1.79560702669268,161,0.473985733062784,0.470718563702925,145.075348369242,3.14312727954338e-24,0.0578080729
1513,"Paraphyletic","Monophyletic","Monophyletic",-4.36373216881129,0.194530527396441,-22.432120177818,1.62161449432878e-39,0.0398275758588171,0.00348256208717559,11.436285947487,1.70704040281632e-19,0.945565310437592,94,0.581829395121336,0.57738077166518,130.788636272688,1.7070404028163e-19,-4.13346524079467,0.136863571600122,-30.2013544763505,2.00211646939193e-62,0.0271365233327521,0.00169627934903886,15.9976735837337,3.79606115059863e-33,0.802449504175972,137,0.651333448584944,0.648788437260746,255.925560091693,3.79606115059858e-33,0.26476089
1514,"Monophyletic","Zero_taxa","Monophyletic",-5.74453891834201,0.378751835436524,-15.167025954399,2.07877785772357e-24,0.0712614773758953,0.00854750361823028,8.33710993978493,2.98272680233263e-12,1.63467515034069,74,0.484347156367223,0.477378874696509,69.5074021480606,2.98272680233268e-12,-5.62413871614969,0.317275813478092,-17.726339283464,4.64337659758614e-33,0.0530856183500195,0.00519658973611548,10.2154722704167,2.4535787012912e-17,1.61395737231669,103,0.503269436460632,0.498446809630152,104.355873707652,2.45357870129116e-17,0.1854944149
1515,"Monophyletic","Zero_taxa","Monophyletic",-5.58196101323239,0.293837089113885,-18.9967884247211,2.74366428219239e-34,0.0499019591220498,0.00515384707301538,9.68246795356569,7.15523808078578e-16,1.44330264364081,96,0.494071641299829,0.488801554230035,93.7501856718265,7.15523808078588e-16,-5.20513378283619,0.228492888564539,-22.7802878922684,1.09690430762419e-46,0.0360651568836789,0.00305018903116691,11.8239087857061,3.27152482818835e-22,1.29005328229194,127,0.523996603625831,0.520248545386665,139.804818972699,3.27152482818797e-22,0.0507779087
