"Borowiec2015.Best108"	"Chang2015.Chang_AA"	"Dunn2008.Dunn2008_FixedNames"	"Hejnol2009.Hejnol_etal_2009_FixedNames"	"Laumer2018.Tplx_phylo_d1"	"Laumer2019.nonbilateria_MARE_BMGE"	"Moroz2014.ED3d"	"Nosenko2013.nonribosomal_9187_smatrix"	"Nosenko2013.ribosomal_14615_smatrix"	"Philippe2009.Philippe_etal_superalignment_FixedNames"	"Philippe2011.UPDUNN_MB_FixedNames"	"Pick2010.Pick2010"	"Ryan2013.REA_EST_includingXenoturbella"	"Simion2017.supermatrix_97sp_401632pos_1719genes"	"Whelan2015.Dataset10_CertainPruned_LBAtaxa_LBAandHeteroGenesPruned"	"Whelan2017.Metazoa_Choano_RCFV_strict"
"Tetranychus"	"Hormathia_digitata"	"Haementeria_depressa"	"Dugesia_japonica"	"OUTC_Mbre"	"OUTI_Sart"	"NVEC"	"Ixodes_sca"	"Ixodes_sca"	"NasoniaXvitripennis"	"Euprymna_scolopes"	"Euperipato"	"Meara_stichopi"	"Aurelia_aurita"	"Hydra_vulgaris"	"Eurhamphaea_vexilligera"
"Tribolium"	"Hydra_magnipapillata"	"Homo_sapiens"	"Echinococcus_granulosus"	"OUTC_Sdol"	"OUTI_Ttra"	"OCAR"	"Leucett_ch"	"Leucett_ch"	"Nematostella_vectensis"	"Fenneropenaeus_chinensis"	"Euprymna_s"	"Mertensiid_sp"	"Stomolophus_meleagris"	"Ircinia_fasciculata"	"Hemithris_psittacea"
"Trichoplax"	"Hydractinia_polyclina"	"Hydra_magnipapillata"	"Echinoderes_horni"	"OUTC_Smac"	"PLAC_Tadh"	"OMIN"	"Leucoso_sp"	"Leucoso_sp"	"OopsacasXminuta"	"Flaccisagitta_enflata"	"Gallus_gal"	"Metridium_senile"	"Pelagia_noctiluca"	"Kirkpatrickia_variolosa"	"Homo_sapiens"
"Xenopus"	"Ilyanassa_obsoleta"	"Hydractinia_echinata"	"Epiperipatus_sp"	"OUTC_Sros"	"PORI_Aque"	"PAST"	"Lubomir_ba"	"Lubomir_ba"	"Oscarella_carmela"	"Gallus_gallus"	"Haementeri"	"Mnemiopsis_leidyi"	"Lucernariopsis_campanulata"	"Latrunculia_apicalis"	"Hormathia_digitata"
NA	"Ircinia_fasciculata"	"Hypsibius_dujardini"	"Euperipatoides_kanangrensis"	"PLAC_Tadh"	"PORI_Avas"	"PATL"	"Mertens_sp"	"Mertens_sp"	"Pedicellina_cernua"	"Gnathostomula_peregrina"	"Heterochon"	"Monosiga_brevicollis"	"Clytia_hemisphaerica"	"Lithobius_forficatus"	"Hormiphora_californica"
NA	"Ixodes_scapularis"	"Lumbricus_rubellus"	"Euprymna_scolopes"	"PLAC_TH11"	"PORI_Ccan"	"PBAC"	"Metridi_se"	"Metridi_se"	"PediculusXhumanus"	"Haementeria_depressa"	"Homarus_am"	"Monosiga_ovata"	"Hydractinia_polyclina"	"Lottia_gigantea"	"Hormiphora_palmata"
NA	"Kudoa_iwatai"	"Macrostomum_lignano"	"Fenneropenaeus_chinensis"	"PLAC_TpH4"	"PORI_Ccla"	"PCAR"	"Mnemiop_le"	"Mnemiop_le"	"Petromyzon_marinus"	"Homo_sapiens"	"Homo_sapie"	"Montastraea_faveolata"	"Nanomia_bijuga"	"Mertensiidae_sp"	"Hyalonema_populiferum"
NA	"Latimeria_menadoensis"	"Mertensiid_sp"	"Flaccisagitta_enflata"	"PLAC_TpH6"	"PORI_Cele"	"PPIL"	"Molgula_te"	"Molgula_te"	"Phycomyces_blakesleeanus"	"Hydra_magnipapillata"	"Hydra_magn"	"Nematostella_vectensis"	"Hydra_magnipapillata"	"Ministeria_vibrans"	"Hydra_oligactis"
NA	"Leucetta_chagosensis"	"Mnemiopsis_leidyi"	"Gallus_gallus"	"PLAT_Sman"	"PORI_Cnuc"	"SCOA"	"Monosig_br"	"Monosig_br"	"Pleurobrachia_pileus"	"Hydractinia_echinata"	"Hydractini"	"Nemertoderma_westbladi"	"Craspedacusta_sowerbyi"	"Mnemiopsis_leidyi"	"Hydra_viridissima"
NA	"Ministeria_vibrans_atcc50519"	"Monosiga_ovata"	"Gnathostomula_peregrina"	"PORI_Aque"	"PORI_Cvar"	"SKOW"	"Monosig_ov"	"Monosig_ov"	"Podocoryne_carnea"	"Hypsibius_dujardini"	"Hypsibius_"	"Oopsacas_minuta"	"Liriope_tetraphylla"	"Monosiga_ovata"	"Hydra_vulgaris"
NA	"Mnemiopsis_leidyi"	"Mytilus_galloprovincialis"	"Haementeria_depressa"	"PORI_Ccan"	"PORI_Ifas"	"SPUR"	"Montast_fa"	"Montast_fa"	"Proterospongia_sp"	"Lumbricus_rubellus"	"Leucetta_c"	"Oscarella_carmela"	"Aplysia_californica"	"Mortierella_verticillata"	"Ircinia_fasciculata"
NA	"Monosiga_brevicollis_mx1"	"Nematostella_vectensis"	"Halocynthia_roretzi"	"PORI_Ccor"	"PORI_Ocar"	"SROS"	"Nasonia_vi"	"Nasonia_vi"	"RenieraXsp"	"Macrostomum_lignano"	"Litopenaeu"	"Oscarella_lobularis"	"Crassostrea_gigas"	"Nanomia_bijuga"	"Kirkpatrickia_variolosa"
NA	"Monosiga_ovata"	"Oscarella_carmela"	"Helobdella_robusta"	"PORI_Cele"	"PORI_Pfic"	"TADH"	"Nematos_ve"	"Nematos_ve"	"RhizopusXoryzae"	"mertensiid_sp"	"Lubomirski"	"Paraplanocera_oligoglena"	"Capitella_teleta"	"Nematostella_vectensis"	"Latrunculia_apicalis"
NA	"Montastraea_faveolata"	"Paraplanocera_oligoglena"	"Homo_sapiens"	"PORI_Cnuc"	"PORI_Psub"	"VALL"	"Oopsacas_m"	"Oopsacas_m"	"Saccoglossus_kowalevskii"	"Mnemiopsis_leidyi"	"Lumbricus_"	"Petromyzon_marinus"	"Helobdella_robusta"	"Oscarella_carmela"	"Lobata_sp_Punta_Arenas_Argentina"
NA	"Myxobolus_cerebralis"	"Phoronis_vancouverensis"	"Hydra_magnipapillata"	"PORI_Cvar"	"PORI_Scil"	NA	"Oscarel_ca"	"Oscarel_ca"	"ScutigeraXcoleoptrata"	"Monosiga_ovata"	"Macrostomu"	"Pleurobrachia_pileus"	"Daphnia_pulex"	"Periphylla_periphylla"	"Lobatolampea_tetragona"
