"clade","gene_tree","num_clade_tips","clade_relationship","clade_length","branch_length_to_clade","max_branching_time_for_ultrametric_clade","outgroup"
"Bilateria",21,"6","monophyletic","1.9574204497","0.0826829428","0.7357326306","Oscarella_carmela"
"Bilateria",23,"6","monophyletic","3.6520936793","0.095483165","1.0676654103","Oscarella_carmela"
"Bilateria",25,"5","monophyletic","2.941652837","0.0463525132","1.2499100055","Oscarella_carmela"
"Bilateria",27,"6","monophyletic","2.6301246644","0.1088023847","0.894615281","Oscarella_carmela"
"Bilateria",29,"6","monophyletic","0.4656050204","0.0494191429","0.1407317418","Oscarella_carmela"
"Bilateria",32,"6","monophyletic","1.5116617999","0.0256062178","0.4562787939","Oscarella_carmela"
"Bilateria",33,"6","monophyletic","0.6665068615","0.0297819648","0.2187634605","Oscarella_carmela"
"Bilateria",35,"6","monophyletic","2.0994169751","0.1150585917","0.6818204632","Oscarella_carmela"
"Bilateria",37,"6","monophyletic","1.7302749915","0.0556581353","0.504248883","Oscarella_carmela"
"Bilateria",39,"6","monophyletic","2.7726867087","0.1018088804","0.9660036078","Oscarella_carmela"
"Bilateria",41,"6","monophyletic","2.1237618881","0.0514517538","0.5500700223","Oscarella_carmela"
"Bilateria",42,"6","monophyletic","2.8914383035","0.0976810795","0.8373412957","Oscarella_carmela"
"Bilateria",46,"5","monophyletic","1.1054882751","0.0251929522","0.3103065253","Oscarella_carmela"
"Bilateria",47,"6","monophyletic","0.6870333588","0.0224038947","0.2216616332","Oscarella_carmela"
"Bilateria",49,"6","monophyletic","1.5748753437","0.0779838767","0.3574488554","Oscarella_carmela"
"Bilateria",50,"6","monophyletic","1.8648868191","0.102145135","0.6090486044","Oscarella_carmela"
"Bilateria",52,"6","monophyletic","1.6293799008","0.0244898175","0.7164900811","Oscarella_carmela"
"Bilateria",53,"5","monophyletic","6.606444271","0.0776475479","4.791949805","Oscarella_carmela"
"Bilateria",54,"6","monophyletic","1.9121848521","0.0445534145","0.5113242804","Oscarella_carmela"
"Bilateria",55,"6","monophyletic","3.0339421751","0.0890258351","0.8345604172","Oscarella_carmela"
"Bilateria",57,"5","monophyletic","2.7101671547","0.0834714917","1.1190586103","Oscarella_carmela"
"Bilateria",61,"6","monophyletic","1.8499891753","0.0754837892","0.5383533599","Oscarella_carmela"
"Bilateria",62,"6","monophyletic","2.3909315532","0.0283000285","0.9729958543","Oscarella_carmela"
"Bilateria",64,"5","monophyletic","1.1464851661","0.0759576281","0.4834836859","Oscarella_carmela"
"Bilateria",68,"6","monophyletic","2.5237394203","0.1106919203","0.6225313847","Oscarella_carmela"
"Bilateria",69,"6","monophyletic","4.1172189062","0.0491057908","0.9962686168","Oscarella_carmela"
"Bilateria",71,"6","monophyletic","1.1689173592","0.0880175689","0.3217774328","Oscarella_carmela"
"Bilateria",73,"5","monophyletic","1.3219051336","0.0408248969","0.4980393028","Oscarella_carmela"
"Bilateria",74,"4","monophyletic","1.2187032034","0.0636280921","0.451970461","Oscarella_carmela"
"Bilateria",75,"6","monophyletic","1.4366786934","0.0610138745","0.372906612","Oscarella_carmela"
"Bilateria",78,"6","monophyletic","1.0447790869","0.0380420464","0.3060715815","Oscarella_carmela"
"Bilateria",79,"6","monophyletic","4.3034193406","0.0975316893","1.5851594873","Oscarella_carmela"
"Bilateria",80,"6","monophyletic","2.263843658","0.2734737459","0.8056145389","Oscarella_carmela"
"Bilateria",82,"6","monophyletic","1.7777515025","0.037703318","0.4983528618","Oscarella_carmela"
"Bilateria",83,"5","monophyletic","1.1931231785","0.1229865928","0.3119636019","Oscarella_carmela"
"Bilateria",86,"6","monophyletic","2.1464209173","0.1348686086","0.5531034329","Oscarella_carmela"
"Bilateria",88,"6","monophyletic","1.5891598954","0.0309013262","0.4158671835","Oscarella_carmela"
"Bilateria",91,"5","monophyletic","2.7446623815","0.0793277595","0.9178356738","Oscarella_carmela"
"Bilateria",92,"6","monophyletic","1.7602185925","0.0700604502","0.5284767497","Oscarella_carmela"
"Bilateria",93,"6","monophyletic","3.2742452232","0.0789857265","0.8364122589","Oscarella_carmela"
"Bilateria",94,"6","monophyletic","3.1633080007","0.0850390596","0.7512293835","Oscarella_carmela"
"Bilateria",104,"5","monophyletic","1.0129026121","0.0471566289","0.4290162429","Oscarella_carmela"
"Bilateria",105,"6","monophyletic","2.8748031144","0.0625986499","0.7340420616","Oscarella_carmela"
"Bilateria",110,"6","monophyletic","1.4695570747","0.050133598","0.4327113799","Oscarella_carmela"
"Bilateria",112,"6","monophyletic","2.0811687574","0.0328215571","0.5627448276","Oscarella_carmela"
"Bilateria",113,"5","monophyletic","2.2496625061","0.1039263706","0.8821927795","Oscarella_carmela"
"Bilateria",114,"6","monophyletic","2.3015222168","0.103513696","0.6758668028","Oscarella_carmela"
"Bilateria",116,"6","monophyletic","2.4610320504","0.0696868199","0.7528169968","Oscarella_carmela"
